# Neural Monitor Data - Updated: 2025-07-17 11:50:07
# Format: [device_id],[serial],[model],[channel_id],[state],[transitions],[active]

DEVICE,0,HT1000,DSO2090,613
CHANNEL,0,A0,0,0,7,0
CHANNEL,1,A1,0,2256,2010348,100
CHANNEL,2,A2,0,0,42,0
CHANNEL,3,A3,0,0,42,0
CHANNEL,4,A4,0,0,42,0
CHANNEL,5,A5,0,0,42,0
CHANNEL,6,A6,0,0,42,0
CHANNEL,7,A7,0,0,42,0
CHANNEL,8,A8,0,0,42,0
CHANNEL,9,A9,0,0,42,0
CHANNEL,10,A10,0,0,42,0
CHANNEL,11,A11,0,0,42,0
CHANNEL,12,A12,0,0,42,0
CHANNEL,13,A13,0,0,42,0
CHANNEL,15,A15,0,0,42,0
CHANNEL,17,B1,0,0,12,0
CHANNEL,18,B2,0,0,12,0
CHANNEL,21,B5,0,0,6,0
CHANNEL,22,B6,0,0,12,0
CHANNEL,23,B7,0,0,6,0
CHANNEL,24,B8,0,0,6,0
CHANNEL,26,B10,0,0,12,0
CHANNEL,27,B11,0,0,12,0
CHANNEL,29,B13,0,0,12,0
CHANNEL,30,B14,0,0,12,0
CHANNEL,31,B15,0,0,6,0

DEVICE,1,HT1001,DSO2150,610
CHANNEL,0,A0,0,210,112667,100
CHANNEL,1,A1,0,1668,1079628,100
CHANNEL,2,A2,0,0,30,0
CHANNEL,3,A3,0,0,30,0
CHANNEL,4,A4,0,0,30,0
CHANNEL,5,A5,0,2724,1479600,100
CHANNEL,6,A6,0,1428,840828,100
CHANNEL,8,A8,0,1308,735078,100
CHANNEL,9,A9,0,0,30,0
CHANNEL,10,A10,0,1416,837156,100
CHANNEL,11,A11,0,0,30,0
CHANNEL,12,A12,0,1344,761436,100
CHANNEL,13,A13,0,2304,1306242,100
CHANNEL,14,A14,0,0,30,0
CHANNEL,15,A15,0,0,186,50
CHANNEL,27,B11,0,1500,886002,100
CHANNEL,29,B13,0,0,132,50
CHANNEL,31,B15,0,12,1464,100

DEVICE,2,HT1002,DSO2250,608
CHANNEL,0,A0,0,162,73906,100
CHANNEL,1,A1,0,3048,1430028,100
CHANNEL,2,A2,0,684,293028,100
CHANNEL,3,A3,0,3612,1598844,100
CHANNEL,4,A4,0,12,9456,100
CHANNEL,5,A5,0,3444,1578744,100
CHANNEL,6,A6,0,1476,665952,100
CHANNEL,7,A7,0,0,12,0
CHANNEL,8,A8,0,1260,599688,100
CHANNEL,9,A9,0,0,240,25
CHANNEL,10,A10,0,1344,621210,100
CHANNEL,11,A11,0,3432,1589604,100
CHANNEL,12,A12,0,1116,514698,100
CHANNEL,13,A13,0,0,18,0
CHANNEL,14,A14,0,0,18,0
CHANNEL,15,A15,0,0,4848,75
CHANNEL,19,B3,0,12,5796,100
CHANNEL,29,B13,0,0,4392,75
CHANNEL,31,B15,0,48,28692,100

DEVICE,3,HT1003,DSO6022BE,610
CHANNEL,0,A0,0,0,4,0
CHANNEL,1,A1,0,0,24,0
CHANNEL,2,A2,0,0,24,0
CHANNEL,3,A3,0,0,24,0
CHANNEL,4,A4,0,0,24,0
CHANNEL,5,A5,0,0,24,0
CHANNEL,6,A6,0,0,18,0
CHANNEL,7,A7,0,0,24,0
CHANNEL,9,A9,0,0,24,0
CHANNEL,10,A10,0,0,24,0
CHANNEL,11,A11,0,0,24,0
CHANNEL,12,A12,0,0,24,0
CHANNEL,13,A13,0,0,36,0
CHANNEL,14,A14,0,0,36,0
CHANNEL,15,A15,0,0,18,0

DEVICE,4,HT1004,DSO2090,605
CHANNEL,0,A0,0,0,7,0
CHANNEL,1,A1,0,2064,1344462,100
CHANNEL,2,A2,0,840,589500,100
CHANNEL,3,A3,0,1044,784656,100
CHANNEL,4,A4,0,0,42,0
CHANNEL,5,A5,0,528,434436,100
CHANNEL,6,A6,0,564,450828,100
CHANNEL,7,A7,0,0,264,0
CHANNEL,8,A8,0,0,42,0
CHANNEL,9,A9,0,2112,1329390,100
CHANNEL,10,A10,0,0,42,0
CHANNEL,11,A11,0,0,426,0
CHANNEL,12,A12,0,756,585072,100
